#Text file table for elements from H to Ni in the Cosmic Radiation
# as in (Wiebel-Sooth and Biernmann 1998)
Element	Z	A	j0	Alpha
H	1	0	1.15E-05	-2.77
He	2	4	7.19E-06	-2.64
Li	3	7	2.08E-07	-2.54
Be	4	9	4.74E-08	-2.75
B	5	11	8.95E-08	-2.95
C	6	12	1.06E-06	-2.66
N	7	14	2.35E-07	-2.72
O	8	16	1.57E-06	-2.68
F	9	19	3.28E-08	-2.69
Ne	10	20	4.60E-07	-2.64
Na	11	23	7.54E-08	-2.66
Mg	12	24	8.01E-07	-2.64
Al	13	27	1.15E-07	-2.66
Si	14	28	7.96E-07	-2.75
P	15	31	2.70E-08	-2.69
S	16	32	2.29E-07	-2.55
Cl	17	35	2.94E-08	-2.68
Ar	18	40	8.36E-08	-2.64
K	19	39	5.36E-08	-2.65
Ca	20	40	1.47E-07	-2.7
Sc	21	45	3.04E-08	-2.64
Ti	22	48	1.13E-07	-2.61
V	23	51	6.31E-08	-2.63
Cr	24	52	1.36E-07	-2.67
Mn	25	55	1.35E-07	-2.46
Fe	26	56	1.78E-06	-2.6
Co	27	59	7.51E-09	-2.72
Ni	28	58	9.96E-08	-2.51
