Name	Z	Alpha	CskID	Flux[Nucleus*m^-2]	 Emin	 Tiempo=7200s
H	1	-2.77	14	16854570.99	5.09e+00
He	2	-2.64	402	1697806.20	1.07e+01
Li	3	-2.54	703	17207.62	1.64e+01
Be	4	-2.75	904	4997.48	2.17e+01
B	5	-2.95	1105	11869.74	2.70e+01
C	6	-2.66	1206	43730.14	3.20e+01
N	7	-2.72	1407	8823.30	3.74e+01
O	8	-2.68	1608	42287.25	4.27e+01
F	9	-2.69	1909	734.17	4.84e+01
Ne	10	-2.64	2010	7759.56	5.34e+01
Na	11	-2.66	2311	1126.89	5.90e+01
Mg	12	-2.64	2412	10020.11	6.40e+01
Al	13	-2.66	2713	1304.44	6.97e+01
Si	14	-2.75	2814	9640.91	7.47e+01
P	15	-2.69	3115	256.14	8.04e+01
S	16	-2.55	3216	1515.38	8.54e+01
Cl	17	-2.68	3517	221.88	9.10e+01
Ar	18	-2.64	4018	528.74	9.70e+01
K	19	-2.65	3919	317.52	1.02e+02
Ca	20	-2.70	4020	877.93	1.07e+02
Sc	21	-2.64	4521	149.70	1.13e+02
Ti	22	-2.61	4822	490.64	1.19e+02
V	23	-2.63	5123	261.67	1.24e+02
Cr	24	-2.67	5224	560.36	1.29e+02
Mn	25	-2.46	5525	388.92	1.35e+02
Fe	26	-2.60	5626	5844.30	1.40e+02
